index,start_time,event,empty_subdir,exists,file_count,path,status,error
55,2014-02-04 15:25:00,20140204_152500_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_152500_UTC\131,,
55,2014-02-04 15:25:00,20140204_152500_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_152500_UTC\211,,
55,2014-02-04 15:25:00,20140204_152500_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_152500_UTC\304,,
55,2014-02-04 15:25:00,20140204_152500_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140204_152500_UTC\hmi.Ic_45s,,
56,2014-02-11 03:22:00,20140211_032200_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140211_032200_UTC\131,,
56,2014-02-11 03:22:00,20140211_032200_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140211_032200_UTC\211,,
56,2014-02-11 03:22:00,20140211_032200_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140211_032200_UTC\304,,
56,2014-02-11 03:22:00,20140211_032200_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140211_032200_UTC\hmi.Ic_45s,,
57,2014-02-11 16:34:00,20140211_163400_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140211_163400_UTC\131,,
57,2014-02-11 16:34:00,20140211_163400_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140211_163400_UTC\211,,
57,2014-02-11 16:34:00,20140211_163400_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140211_163400_UTC\304,,
57,2014-02-11 16:34:00,20140211_163400_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140211_163400_UTC\hmi.Ic_45s,,
58,2014-02-12 03:52:00,20140212_035200_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_035200_UTC\131,,
